system:index,Date,District,Month,Year,.geo
2000_06_25_1,2000-06-25,Anuradhapura,6,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_06_25_2,2000-06-25,Polonnaruwa,6,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_06_25_3,2000-06-25,Matale,6,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_06_25_4,2000-06-25,Monaragala,6,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_07_03_0,2000-07-03,Jaffna,7,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_07_03_1,2000-07-03,Anuradhapura,7,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_07_03_2,2000-07-03,Polonnaruwa,7,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_07_03_3,2000-07-03,Matale,7,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_07_03_4,2000-07-03,Monaragala,7,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_07_11_0,2000-07-11,Jaffna,7,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_07_11_1,2000-07-11,Anuradhapura,7,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_07_11_2,2000-07-11,Polonnaruwa,7,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_07_11_3,2000-07-11,Matale,7,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_07_11_4,2000-07-11,Monaragala,7,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_07_19_0,2000-07-19,Jaffna,7,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_07_19_1,2000-07-19,Anuradhapura,7,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_07_19_2,2000-07-19,Polonnaruwa,7,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_07_19_3,2000-07-19,Matale,7,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_07_19_4,2000-07-19,Monaragala,7,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_07_27_0,2000-07-27,Jaffna,7,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_07_27_1,2000-07-27,Anuradhapura,7,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_07_27_2,2000-07-27,Polonnaruwa,7,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_07_27_3,2000-07-27,Matale,7,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_07_27_4,2000-07-27,Monaragala,7,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_08_04_0,2000-08-04,Jaffna,8,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_08_04_1,2000-08-04,Anuradhapura,8,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_08_04_2,2000-08-04,Polonnaruwa,8,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_08_04_3,2000-08-04,Matale,8,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_08_04_4,2000-08-04,Monaragala,8,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_08_12_0,2000-08-12,Jaffna,8,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_08_12_1,2000-08-12,Anuradhapura,8,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
