year,month,season,district,temperature_c,rainfall,humidity_pct,evi_i,ndvi_i,clay_0_5cm,ph_0_5cm,sand_0_5cm,yield_mt_per_ha
2024,June,Yala,Matale,26.7247389827803,2.100673070281239,83.04282252255811,0.21267431047696314,0.46842460677178777,321.1608385018071,57.10937014130817,433.8980764283409,14.517900341314759
2020,November,Yala,Anuradhapura,26.1571367090074,11.40460571587242,86.93378714391599,0.47424589273940737,0.651517614247989,274.2593714709531,57.920658895052306,480.7913517207436,14.079504519788856
2019,September,Yala,Polannaruwa,28.25611886129209,4.245309537891328,74.21310344736138,0.37819194411434476,0.4424104981570082,295.721294820115,60.13059568423786,314.8042813599864,11.097252521475635
2024,August,Yala,Anuradhapura,28.106419022356242,3.385358818939047,76.57758134070315,0.30140903832660565,0.5762334859267382,275.11929567593387,58.08286313649147,479.4405868407871,22.615309427142133
2019,August,Yala,Matale,25.886524707667412,4.4237986921240955,78.78294565714249,0.274563776070499,0.3519577827150308,321.3161857916511,56.98242830111513,439.76258479191483,34.07348353366201
2024,June,Yala,Matale,26.486972807657843,2.198686463318451,83.04316968433085,0.21957426240728828,0.47116727891666443,321.0454331707056,56.9112838496532,432.81413306975855,14.069941266628367
2025,September,Yala,Anuradhapura,28.45856452222939,2.271513564459101,72.14170196480526,0.4238363963116543,0.5932910844913555,276.0986266777513,57.92801651790323,481.1840397779323,21.156162034608307
2023,August,Yala,Polannaruwa,30.37956338123394,0.8037322560414801,64.34379443284075,0.4260476784519837,0.617058427247995,296.79733442349396,59.9597880347691,317.6386147799203,15.072389833508868
2019,September,Yala,Matale,25.55494028934922,6.6624412178624395,81.79613638864559,0.24698570995635422,0.42855929180673225,322.1463636097892,56.949977756513064,430.138533399227,14.395286001732764
2023,October,Yala,Matale,25.10441327185113,13.628664107517451,88.23609760991364,0.37264607575677716,0.6242301082902488,320.60166333893727,56.947836371537775,434.0843471475043,20.571530579254528
2022,November,Yala,Anuradhapura,24.883067943059935,7.319090889696767,87.55499944518726,0.3300058662818265,0.4788070039738292,274.7317153804196,57.9826009285022,479.53417937798724,16.6639069188977
2022,October,Yala,Anuradhapura,26.69631216619856,7.665017035252712,80.78081524639506,0.4543213724264759,0.6895148499270979,276.6699566869369,58.10427766147935,475.43127594381815,11.995120386537458
2023,September,Yala,Kurunegala,25.77026806452651,7.758806713397484,81.41014676715677,0.415935915269215,0.6450026750337343,336.45410705630763,57.14230029236544,396.8658374726405,12.415836385930291
2019,October,Yala,Anuradhapura,26.147478074939023,13.165443257398321,86.36252281127518,0.15874799396182598,0.4642505741690707,276.21179760360155,57.93254661181141,481.7401358798985,23.124438437027944
2019,August,Yala,Matale,25.939380921788203,4.186244677983928,78.62936457082776,0.2659800530930954,0.3594979667062081,319.4108139786695,56.90853348377379,432.47556751312203,34.46550971279529
2019,September,Yala,Anuradhapura,27.455857017880092,4.646827699404571,77.02463298826746,0.3120958182782278,0.4190235144071956,274.13887538727124,58.07958137127299,482.73909419605735,18.56204081104828
2024,August,Yala,Kurunegala,26.118880270762745,4.927158997652407,82.06776045211663,0.5084113117857294,0.7084122936734335,338.9999528444557,56.95063725002007,401.5995692025277,23.05025247004095
2019,October,Yala,Anuradhapura,26.119591331371502,13.652647624818252,86.40129425902994,0.15556489052465344,0.4614637473053273,277.3242740172531,57.99555594911422,477.594665564554,22.976192952658735
2024,August,Yala,Kurunegala,26.105295827940243,4.337225663761471,82.40877485656661,0.508078245845116,0.7060907597325444,336.4777897626174,56.92818045431511,403.13444914803625,22.148850177648285
2024,October,Yala,Polannaruwa,27.704493126148865,6.049316315191521,81.90267113714879,0.36802690994567283,0.6072815724477263,299.138593605756,59.96023290468042,322.97437352121256,21.853020019683537
2020,October,Yala,Polannaruwa,28.451448750881756,1.3753697141987276,72.87502919329813,0.3638377310246482,0.5206561016864673,293.99586791916244,59.92973551062241,311.8433904753027,17.502951108137218
2023,August,Yala,Polannaruwa,30.454589012485407,0.6630042998674196,64.46795122528634,0.41808846470611943,0.6318719266664563,298.7862011269147,60.08692401050041,311.28239777520446,16.029836159169054
2022,August,Yala,Matale,24.83491462651127,6.109231150194981,85.21210784451168,0.30457973621213347,0.5505121630965314,321.2461505429152,57.04751953175158,435.4656403620961,2.0101556600947514
2025,September,Yala,Polannaruwa,28.731718374042977,2.232260096912825,71.30364521340108,0.31978743184620984,0.5443847313776855,297.23377248573723,59.976996173881915,316.08248136385544,22.327739919451883
2024,October,Yala,Kurunegala,25.886637056738945,4.017681600733573,83.23922706449316,0.4122962690239376,0.6047837493801576,337.670386464968,56.967552107616015,396.3175380363741,35.95889326007424
2020,November,Yala,Anuradhapura,26.103502862417372,10.877506740420715,87.39910994277292,0.4700771842528605,0.653820739551641,273.8353414123989,58.01616465923669,476.93465721445386,15.062749470195856
2023,October,Yala,Polannaruwa,27.280715664420953,16.938692709431958,83.04702295987552,0.4211023491952816,0.6016818177066825,295.2580152134524,60.02383173526385,319.30511709989185,18.93872388358507
2020,October,Yala,Anuradhapura,27.650959353953322,1.7384945269984002,76.5080044090729,0.3814285811097861,0.6263963162073027,272.9054962960755,57.94099824298285,476.2854891991395,10.038679018503109
2025,September,Yala,Kurunegala,25.682326097048954,5.281164321443027,83.25483934699325,0.280937448287942,0.45209463580665227,337.4080086376976,56.89235557474702,399.69342594170774,11.980568683297527
2024,October,Yala,Kurunegala,25.763937538990227,3.899522198195267,83.23135505356107,0.4114352257359248,0.6035829323705254,338.4915653305882,57.00163087203649,395.24722655508066,36.16236232896191
2022,September,Yala,Anuradhapura,27.559760596191506,1.8815441453709236,75.98124420564437,0.4423303524127221,0.5957994979495744,275.4878738719102,57.96673748306433,480.42345821767475,13.259642886410315
2024,August,Yala,Anuradhapura,28.114431283827532,3.5871153400127236,76.61270304022683,0.3037180959767994,0.5808174400217351,274.77782478957107,57.9664221263805,478.29442766637567,21.831121346668947
2021,November,Yala,Anuradhapura,25.357740367215104,17.241057208169558,92.10678739164338,0.35681235960585783,0.6088321712372912,273.79562563260754,58.08123125018583,483.9612437311466,37.22237831163638
2021,October,Yala,Kurunegala,24.962016089322564,10.750570608470419,87.2580459038965,0.4377168762891975,0.6335442090674706,337.17145347894495,56.976660198754814,398.2873928864634,26.9484774778782
2024,June,Yala,Matale,26.489464882230692,2.2396315602208388,82.72595774198494,0.2112616101040274,0.46411169876736735,321.0325577803857,57.01745144145794,434.87873938553435,13.701676774495704
